ethnicity,sex,age,label,url,x_pca_3,y_pca_3,z_pca_3
bipoc,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJXdODAZHOaG0rI,-0.12116721213926517,-0.05287424046492341,-0.3244940308669382
bipoc,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37SAhyROGBWVpVs,-0.1899586862467952,-0.02771461695906526,-0.2927994264679534
bipoc,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QLhY3LefdXzwfI,-0.19972724438824985,-0.019910115980580095,-0.3329697954511349
bipoc,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_egtCOrU9KOm233M,-0.19749646266841214,0.17319064036248843,0.10239366026100481
white,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Amo6fqrutcZYZo,-0.17103692018521732,-0.0500904166996798,-0.27216112030323303
white,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XqAx3FzoRDFZt4,-0.25149830930879474,0.19137759804585014,-0.09275933388857613
white,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7PC2cgcyr5yUiOy,-0.1451837336280686,-0.03879751106879985,-0.2664143381174293
white,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9Gfr3sYkHq3hHG6,0.0687234663788619,0.024733544616377362,-0.18426578662645018
bipoc,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cvFjQlP07m9S7VY,-0.12256128599975878,-0.05954371060965609,-0.05515783917285558
bipoc,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zxryb4o2ZDgHDo,-0.11335145702880761,-0.03962335254699237,-0.131259132127316
bipoc,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cIvdFisSzzSMNRI,-0.17836385440191468,-0.05623979477752632,-0.18385148996637898
bipoc,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_envzka9NlloQh7g,-0.11514336238268912,-0.21107147793307013,0.008616951839626045
white,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_er3kGiV5nUJCkse,-0.17474955841382225,-0.03829570214848353,-0.16290086158012002
white,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_51ruTTJP1FaUeX4,0.3859392382368505,0.044534754915855554,0.0015380855621156078
white,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Iuz8TahQUf5rCu,-0.16710497814019792,-0.09967346096389025,-0.11442953665347042
white,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3dtGv9tzZmLa4Cy,-0.05778534991353954,-0.03767892702041239,-0.13121089767411406
bipoc,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6qVleJUYoACmf6C,-0.09789526389035667,-0.05017467473461665,0.08075952727089658
bipoc,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4HJDfrqWWlJ7wRU,-0.10446271089135524,-0.3234996546200892,0.3242733103773561
bipoc,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54KW05fRgzNmLfE,-0.13698769752167939,-0.08216197858295901,0.1405563521413141
bipoc,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aY2MoY6bfggUc9E,-0.005605639330735471,-0.26664428753692687,0.2875857715290406
white,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1H2GqqCbhjjnp3g,-0.057532327386783925,-0.49484256381099234,0.4554413159562672
white,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cXRPI85VJ3YAOdo,-0.20990583198655818,0.1821262111581393,0.21056821923087832
white,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1z4YnfSQVdhj1Rk,-0.0824243069393422,-0.23513308534320354,0.17854292469660102
white,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_24ukMlBx2IZMMuO,0.025008675820286704,-0.32561964188703624,0.25010364127224555
bipoc,female,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5uIGlackw1zchRY,0.24447703382532748,0.043021663163457395,-0.2195196228620223
bipoc,female,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1LJr1XMUNEEqjEq,0.8122665172778062,0.18784997149591812,0.047350557950474305
bipoc,male,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVKZzBmzWSoXCXY,0.5790037688120415,0.10413719478770107,-0.04516501175580517
bipoc,male,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_da53a1yGEedpOJg,0.8280491318395422,0.19380488231346554,0.03846255734628416
white,female,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6hVt2pmEYV6YLwG,0.751798083036287,0.1588610383302034,0.02029957029328379
white,female,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9shhhARAg1o8QcK,0.7767984015843787,0.16784285501888174,0.051445204922939865
white,male,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3CWGONIxkNEfLbU,0.6805342890068291,0.08142756750344957,0.08673210389386048
white,male,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0lBpULniZBM24Pc,0.8309799559747424,0.19312242443561545,0.04367748393816114
bipoc,female,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_80TvOXpOXat9RxI,-0.12079671644981413,-0.04520627720066959,-0.3751105082816858
bipoc,female,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9H2fzde2Rkxr2VU,0.10949642429513329,0.00015836921173108986,-0.3286480266653563
bipoc,male,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMDFM510Dzc4NKu,-0.16015503406883652,0.031159597250500708,-0.34533827624173036
