counts,emotion,percent
433,anger,0.24244120940649497
190,mad,0.10638297872340426
120,upset,0.0671892497200448
65,sadness,0.036394176931690926
62,confused,0.03471444568868981
61,serious,0.0341545352743561
54,frustrated,0.030235162374020158
40,none,0.022396416573348264
29,annoyed,0.016237402015677492
26,silly,0.014557670772676373
21,disappointed,0.011758118701007838
18,unhappy,0.010078387458006719
18,happiness,0.010078387458006719
17,disgust,0.009518477043673012
16,focused,0.008958566629339306
14,unpleasant,0.007838745800671893
13,pissed,0.007278835386338186
13,concerned,0.007278835386338186
13,calm,0.007278835386338186
12,goofy,0.006718924972004479
11,shocked,0.006159014557670772
