counts,emotion,percent
287,disgust,0.16279069767441862
142,confused,0.08054452637549632
126,anger,0.07146908678389109
89,mad,0.05048213272830403
69,silly,0.039137833238797506
66,upset,0.03743618831537152
54,happiness,0.030629608621667612
44,annoyed,0.024957458876914352
38,sadness,0.021554169030062395
36,shocked,0.02041973908111174
34,none,0.019285309132161088
31,surprise,0.01758366420873511
29,goofy,0.016449234259784458
24,scared,0.013613159387407828
23,frustrated,0.013045944412932501
22,funny,0.012478729438457176
22,unhappy,0.012478729438457176
18,sour,0.01020986954055587
17,unpleasant,0.009642654566080544
17,gross,0.009642654566080544
16,cute,0.009075439591605219
15,playful,0.008508224617129892
14,hate,0.007941009642654566
13,weird,0.00737379466817924
13,uncomfortable,0.00737379466817924
