counts,emotion,percent
837,happiness,0.4668153931957613
120,content,0.06692693809258227
111,excited,0.0619074177356386
62,smile,0.03457891801450084
38,pleased,0.021193530395984383
31,calm,0.01728945900725042
27,none,0.01505856107083101
24,smiling,0.013385387618516454
17,cheerful,0.009481316229782488
16,confident,0.008923591745677636
15,unhappy,0.008365867261572783
15,silly,0.008365867261572783
14,joyful,0.007808142777467931
13,surprise,0.007250418293363078
13,proud,0.007250418293363078
13,unpleasant,0.007250418293363078
12,uncomfortable,0.006692693809258227
11,thrilled,0.006134969325153374
