counts,emotion,percent
274,surprise,0.15005476451259583
209,shocked,0.1144578313253012
199,happiness,0.10898138006571742
97,confused,0.05312157721796276
90,excited,0.04928806133625411
60,scared,0.03285870755750274
43,shock,0.023548740416210297
42,silly,0.023001095290251915
38,suprised,0.0208105147864184
30,none,0.01642935377875137
27,goofy,0.014786418400876232
24,funny,0.013143483023001095
21,interested,0.011500547645125958
20,intrigued,0.01095290251916758
20,worried,0.01095290251916758
17,unhappy,0.009309967141292442
17,sadness,0.009309967141292442
15,curious,0.008214676889375685
15,uncomfortable,0.008214676889375685
14,unpleasant,0.007667031763417305
13,crazy,0.007119386637458927
13,suprise,0.007119386637458927
13,content,0.007119386637458927
13,concerned,0.007119386637458927
12,focused,0.0065717415115005475
12,disbelief,0.0065717415115005475
11,anger,0.006024096385542169
11,boring,0.006024096385542169
