StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,sex,age,ethnicity,formal education,income,Q1.7,Q1.7_8_TEXT,Q1.9,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Q8.1,Q9.1,Q10.1,Q11.1,Q12.1,Q13.1,Q14.1,Q15.1,Q16.1,Q17.1,Q18.1,Q19.1,Q20.1,Q21.1,Q22.1,Q23.1,Q24.1,Q25.1,Q26.1,Q27.1,Q28.1,Q29.1,Q30.1,Q31.1,Q32.1,Q33.1,Q34.1,Q35.1,Q36.1,Q37.1,Q38.1,Q39.1,Q40.1,Q41.1,Q42.1,Q43.1,Q44.1,Q45.1,Q46.1,Q47.1,Q48.1,Q49.1,Q50.1,Q51.1,Q52.1,Q53.1,Q54.1,Q55.1,Q56.1,Q57.1,Q58.1,Q59.1,Q60.1,Q61.1,Q62.1,Q63.1,Q64.1,Q65.1,Q66.1,Q67.1,Q68.1,Q69.1,Q70.1,Q71.1,Q72.1,Q73.1,Q74.1,Q75.1,Q76.1,Q77.1,Q78.1,Q79.1,Q80.1,Q81.1,Q82.1,Q83.1,Q84.1,Q85.1,Q86.1,Q87.1,Q88.1,Q89.1,Q90.1,Q91.1,Q92.1,Q93.1,Q94.1,Q95.1,Q96.1,Q97.1,Q98.1,Q99.1,Q100.1,Q101.1,Q102.1,Q103.1,Q104.1,Q105.1,Q106.1,Q107.1,Q108.1,Q109.1,Q110.1,Q111.1,Q112.1,Q113.1,Q114.1,Q115.1,Q116.1,Q117.1,Q118.1,Q119.1,Q120.1,Q121.1,Q122.1,Q123.1,Q124.1,Q125.1,Q126.1,Q127.1,Q128.1,Q129.1,Q130.1,Q131.1,Q132.1,Q133.1,Q134.1,Q135.1,Q136.1,Q137.1,Q138.1,Q139.1,Q140.1,Q141.1,Q142.1,Q143.1,Q144.1,Q145.1,Q146.1,Q147.1,Q148.1,Q149.1,Q150.1,Q151.1,Q152.1,Q153.1,Q154.1,Q155.1,Q156.1,Q157.1,Q158.1,Q159.1,Q160.1,Q161.1,Q162.1,Q163.1,Q164.1,Q165.1,Q166.1,Q167.1,Q168.1,Q169.1,Q170.1,Q171.1,Q172.1,Q173.1,Q174.1,Q175.1,Q176.1,Q177.1,Q178.1,Q179.1,Q180.1,Q181.1,Q182.1,Q183.1,Q184.1,Q185.1,Q186.1,Q187.1,Q188.1,Q189.1,Q190.1,Q191.1,Q192.1,Q193.1,Q194.1,Q195.1,random
2021-12-16 15:30:42,2021-12-16 15:47:53,IP Address,24.154.186.213,100,1031,True,2021-12-16 15:47:54,R_3scOekMhpTuyzfM,,,,,40.8795013427734375,-79.93000030517578125,anonymous,EN,I consent,Male,41,White or Caucasian,4 year degree,49225,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Anger,Disgust,Anger,Uncertain,Anger,Sadness,Neutral,Happiness,Disgust,Disgust,Disgust,Disgust,Disgust,Happiness,Disgust,Disgust,Fear,Surprise,Fear,Surprise,Surprise,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Uncertain,Neutral,Neutral,Neutral,Neutral,Fear,Fear,Fear,Sadness,Sadness,Sadness,Uncertain,Sadness,Surprise,Surprise,Surprise,Happiness,Surprise,Surprise,Surprise,Neutral,Disgust,Fear,Other,Happiness,Disgust,Anger,Uncertain,Uncertain,Anger,Disgust,Neutral,Anger,Anger,Anger,Uncertain,Anger,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Sadness,Disgust,Fear,Fear,Surprise,Surprise,Surprise,Surprise,Surprise,Sadness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fear,Fear,Sadness,Fear,Neutral,Sadness,Neutral,Sadness,Surprise,Neutral,Neutral,Surprise,Surprise,Neutral,Surprise,Fear,Neutral,Other,Other,Neutral,Surprise,Neutral,Neutral,Happiness,Fear,Anger,Anger,Anger,Anger,Anger,Anger,Anger,Disgust,Anger,Anger,Disgust,Disgust,Disgust,Disgust,Surprise,Disgust,Disgust,Surprise,Sadness,Sadness,Fear,Surprise,Surprise,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disgust,Fear,Sadness,Neutral,Sadness,Sadness,Neutral,Anger,Surprise,Happiness,Surprise,Surprise,Surprise,Surprise,Surprise,Neutral,Happiness,Disgust,Surprise,Neutral,Disgust,Anger,Other,Other,8411
2021-12-16 15:26:47,2021-12-16 15:47:56,IP Address,68.189.33.227,100,1268,True,2021-12-16 15:47:56,R_XGSfHqjGeyHWOat,,,,,40.558502197265625,-122.4138946533203125,anonymous,EN,I consent,Male,39,White or Caucasian,High school graduate,4859,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Neutral,Anger,Anger,Disgust,Anger,Anger,Anger,Anger,Disgust,Anger,Anger,Disgust,Disgust,Anger,Disgust,Anger,Fear,Surprise,Fear,Surprise,Surprise,Fear,Fear,Surprise,Neutral,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Fear,Surprise,Surprise,Surprise,Surprise,Surprise,Neutral,Uncertain,Neutral,Other,Neutral,Disgust,Sadness,Uncertain,Neutral,Sadness,Anger,Disgust,Neutral,Anger,Anger,Disgust,Anger,Anger,Fear,Disgust,Anger,Anger,Fear,Anger,Disgust,Anger,Fear,Sadness,Fear,Neutral,Fear,Surprise,Fear,Neutral,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Surprise,Neutral,Fear,Surprise,Surprise,Neutral,Fear,Fear,Other,Uncertain,Happiness,Neutral,Surprise,Surprise,Neutral,Uncertain,Sadness,Anger,Anger,Anger,Uncertain,Anger,Anger,Neutral,Anger,Anger,Anger,Anger,Disgust,Disgust,Disgust,Fear,Disgust,Disgust,Fear,Sadness,Sadness,Fear,Fear,Surprise,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disgust,Neutral,Sadness,Sadness,Sadness,Neutral,Neutral,Sadness,Surprise,Surprise,Fear,Surprise,Fear,Surprise,Surprise,Neutral,Happiness,Happiness,Disgust,Neutral,Uncertain,Anger,Uncertain,Neutral,8074
2021-12-16 15:33:21,2021-12-16 15:52:32,IP Address,184.90.48.135,100,1150,True,2021-12-16 15:52:32,R_2wFDV6ejhCjs2GT,,,,,29.2866058349609375,-81.0868988037109375,anonymous,EN,I consent,Male,30,White or Caucasian,High school graduate,48592,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Other,Anger,Anger,Sadness,Anger,Sadness,Neutral,Other,Disgust,Other,Disgust,Surprise,Disgust,Other,Disgust,Other,Fear,Fear,Fear,Surprise,Fear,Fear,Fear,Surprise,Neutral,Happiness,Happiness,Happiness,Happiness,Happiness,Surprise,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Other,Sadness,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Surprise,Neutral,Surprise,Disgust,Surprise,Surprise,Other,Other,Neutral,Other,Neutral,Disgust,Anger,Uncertain,Uncertain,Sadness,Anger,Anger,Neutral,Anger,Anger,Anger,Anger,Anger,Disgust,Other,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Fear,Sadness,Fear,Neutral,Anger,Surprise,Fear,Sadness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Neutral,Sadness,Surprise,Neutral,Surprise,Surprise,Surprise,Surprise,Fear,Anger,Uncertain,Uncertain,Other,Neutral,Surprise,Uncertain,Neutral,Surprise,Sadness,Anger,Anger,Anger,Anger,Anger,Anger,Neutral,Anger,Disgust,Other,Anger,Neutral,Disgust,Other,Disgust,Disgust,Disgust,Fear,Disgust,Sadness,Fear,Surprise,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disgust,Sadness,Sadness,Sadness,Sadness,Other,Neutral,Sadness,Surprise,Surprise,Fear,Surprise,Surprise,Surprise,Surprise,Other,Other,Happiness,Other,Neutral,Uncertain,Anger,Uncertain,Neutral,9561
2021-12-16 15:26:19,2021-12-16 15:53:03,IP Address,76.91.125.247,100,1603,True,2021-12-16 15:53:03,R_1hKGzhBwMUQRZcu,,,,,34.1483001708984375,-118.0016021728515625,anonymous,EN,I consent,Female,57,White or Caucasian,High school graduate,25891,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Surprise,Anger,Anger,Sadness,Uncertain,Anger,Uncertain,Anger,Uncertain,Disgust,Disgust,Disgust,Disgust,Disgust,Uncertain,Disgust,Fear,Fear,Fear,Surprise,Fear,Fear,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Sadness,Neutral,Uncertain,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Fear,Surprise,Surprise,Uncertain,Surprise,Fear,Surprise,Disgust,Neutral,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Sadness,Uncertain,Sadness,Neutral,Anger,Anger,Sadness,Anger,Anger,Uncertain,Uncertain,Uncertain,Disgust,Disgust,Disgust,Disgust,Disgust,Fear,Sadness,Fear,Uncertain,Fear,Surprise,Uncertain,Sadness,Happiness,Happiness,Happiness,Happiness,Uncertain,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Surprise,Neutral,Surprise,Fear,Surprise,Neutral,Fear,Uncertain,Uncertain,Uncertain,Uncertain,Neutral,Uncertain,Uncertain,Uncertain,Uncertain,Sadness,Anger,Anger,Anger,Sadness,Anger,Anger,Neutral,Uncertain,Anger,Anger,Disgust,Disgust,Disgust,Disgust,Fear,Disgust,Uncertain,Uncertain,Sadness,Uncertain,Fear,Fear,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Surprise,Surprise,Fear,Surprise,Surprise,Uncertain,Surprise,Neutral,Uncertain,Happiness,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,5360
2021-12-16 15:31:16,2021-12-16 15:54:28,IP Address,68.37.139.153,100,1391,True,2021-12-16 15:54:29,R_2THuGOpXewUGdE2,,,,,42.997894287109375,-82.4571990966796875,anonymous,EN,I consent,Male,49,Black or African American,Master's degree,36549,"English,Spanish,Chinese,Portuguese,French,Dutch",,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Sadness,Sadness,Fear,Neutral,Fear,Disgust,Other,Fear,Uncertain,Anger,Sadness,Surprise,Sadness,Other,Neutral,Other,Uncertain,Neutral,Uncertain,Anger,Happiness,Uncertain,Other,Surprise,Fear,Happiness,Happiness,Other,Other,Neutral,Happiness,Happiness,Anger,Neutral,Neutral,Anger,Neutral,Other,Surprise,Fear,Sadness,Fear,Other,Sadness,Sadness,Sadness,Other,Anger,Sadness,Uncertain,Neutral,Happiness,Uncertain,Surprise,Happiness,Disgust,Anger,Fear,Surprise,Fear,Uncertain,Other,Fear,Other,Anger,Neutral,Sadness,Surprise,Surprise,Happiness,Happiness,Fear,Neutral,Neutral,Fear,Disgust,Other,Fear,Uncertain,Disgust,Surprise,Neutral,Sadness,Sadness,Sadness,Other,Neutral,Fear,Anger,Uncertain,Happiness,Surprise,Disgust,Disgust,Neutral,Other,Fear,Fear,Happiness,Happiness,Neutral,Neutral,Neutral,Fear,Disgust,Fear,Other,Disgust,Neutral,Surprise,Other,Surprise,Disgust,Happiness,Disgust,Surprise,Sadness,Fear,Uncertain,Other,Anger,Neutral,Other,Disgust,Fear,Surprise,Disgust,Disgust,Sadness,Fear,Disgust,Sadness,Sadness,Sadness,Anger,Other,Anger,Happiness,Happiness,Happiness,Uncertain,Neutral,Anger,Anger,Other,Uncertain,Surprise,Disgust,Disgust,Happiness,Uncertain,Uncertain,Anger,Surprise,Fear,Anger,Fear,Fear,Uncertain,Neutral,Happiness,Surprise,Disgust,Uncertain,Surprise,Other,Surprise,Disgust,Neutral,Fear,Fear,Happiness,Anger,Anger,Uncertain,Uncertain,Disgust,Anger,Sadness,Disgust,Uncertain,Happiness,Disgust,Fear,Sadness,Happiness,Fear,Uncertain,Disgust,Neutral,Disgust,Sadness,Anger,Sadness,4999
2021-12-16 15:40:59,2021-12-16 15:54:57,IP Address,148.75.30.213,100,837,True,2021-12-16 15:54:57,R_3NwwH5fEFHG9hVL,,,,,40.766693115234375,-74.031097412109375,anonymous,EN,I consent,Male,34,White or Caucasian,Some college,50915,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Anger,Anger,Anger,Fear,Anger,Sadness,Anger,Anger,Disgust,Disgust,Anger,Disgust,Anger,Disgust,Disgust,Disgust,Fear,Surprise,Sadness,Surprise,Fear,Sadness,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Fear,Surprise,Happiness,Surprise,Surprise,Surprise,Surprise,Disgust,Neutral,Other,Happiness,Disgust,Uncertain,Other,Neutral,Sadness,Anger,Neutral,Anger,Anger,Anger,Disgust,Anger,Anger,Uncertain,Fear,Anger,Disgust,Disgust,Other,Disgust,Disgust,Fear,Fear,Surprise,Surprise,Fear,Surprise,Sadness,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Other,Neutral,Surprise,Neutral,Neutral,Happiness,Neutral,Neutral,Fear,Sadness,Sadness,Neutral,Sadness,Fear,Sadness,Happiness,Neutral,Neutral,Surprise,Surprise,Surprise,Surprise,Anger,Uncertain,Neutral,Anger,Other,Other,Other,Neutral,Happiness,Sadness,Anger,Disgust,Anger,Neutral,Anger,Anger,Anger,Anger,Disgust,Anger,Disgust,Disgust,Disgust,Disgust,Fear,Disgust,Anger,Fear,Sadness,Sadness,Fear,Surprise,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Uncertain,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Other,Sadness,Surprise,Happiness,Surprise,Surprise,Surprise,Fear,Surprise,Surprise,Happiness,Fear,Other,Other,Uncertain,Anger,Other,Disgust,6339
2021-12-16 15:29:49,2021-12-16 15:55:50,IP Address,208.203.208.73,100,1560,True,2021-12-16 15:55:50,R_ThhdrzZw00rubHr,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Female,40,White or Caucasian,4 year degree,66972,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Other,Surprise,Surprise,Fear,Surprise,Sadness,Fear,Happiness,Disgust,Fear,Neutral,Neutral,Sadness,Happiness,Sadness,Neutral,Fear,Surprise,Uncertain,Uncertain,Disgust,Neutral,Surprise,Anger,Other,Happiness,Other,Happiness,Happiness,Happiness,Happiness,Happiness,Anger,Happiness,Neutral,Disgust,Disgust,Happiness,Disgust,Surprise,Uncertain,Sadness,Other,Sadness,Sadness,Sadness,Anger,Sadness,Happiness,Surprise,Surprise,Happiness,Neutral,Surprise,Fear,Surprise,Happiness,Other,Other,Other,Uncertain,Fear,Anger,Fear,Sadness,Anger,Uncertain,Disgust,Anger,Disgust,Other,Anger,Anger,Disgust,Sadness,Anger,Anger,Sadness,Other,Sadness,Surprise,Surprise,Sadness,Uncertain,Uncertain,Surprise,Surprise,Anger,Sadness,Happiness,Happiness,Neutral,Happiness,Happiness,Other,Happiness,Happiness,Neutral,Sadness,Other,Sadness,Sadness,Sadness,Other,Sadness,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Disgust,Sadness,Happiness,Other,Neutral,Neutral,Surprise,Neutral,Surprise,Happiness,Other,Neutral,Happiness,Neutral,Surprise,Disgust,Sadness,Happiness,Fear,Uncertain,Fear,Other,Uncertain,Anger,Anger,Disgust,Uncertain,Disgust,Disgust,Neutral,Other,Disgust,Happiness,Fear,Uncertain,Anger,Other,Disgust,Anger,Anger,Other,Disgust,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Other,Other,Surprise,Neutral,Neutral,Other,Disgust,Neutral,Sadness,Sadness,Fear,Other,Neutral,Sadness,Surprise,Happiness,Surprise,Anger,Neutral,Neutral,Surprise,Other,Uncertain,Other,Other,Happiness,Anger,Uncertain,Surprise,Uncertain,6282
2021-12-16 15:42:36,2021-12-16 15:56:15,IP Address,174.48.147.189,100,818,True,2021-12-16 15:56:15,R_1LU6U1rlwtNaDoz,,,,,26.0070037841796875,-80.1219024658203125,anonymous,EN,I consent,Male,29,White or Caucasian,4 year degree,39928,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Anger,Anger,Anger,Sadness,Anger,Anger,Anger,Anger,Disgust,Disgust,Anger,Disgust,Disgust,Anger,Disgust,Anger,Fear,Surprise,Fear,Surprise,Fear,Sadness,Fear,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Sadness,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Surprise,Surprise,Happiness,Fear,Fear,Surprise,Neutral,Disgust,Sadness,Uncertain,Happiness,Disgust,Uncertain,Uncertain,Uncertain,Sadness,Anger,Anger,Sadness,Anger,Disgust,Anger,Anger,Disgust,Sadness,Uncertain,Disgust,Disgust,Fear,Anger,Disgust,Disgust,Sadness,Sadness,Surprise,Surprise,Surprise,Surprise,Sadness,Sadness,Happiness,Sadness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Sadness,Sadness,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Sadness,Surprise,Happiness,Surprise,Neutral,Fear,Surprise,Anger,Sadness,Happiness,Neutral,Surprise,Neutral,Sadness,Disgust,Sadness,Anger,Disgust,Anger,Sadness,Anger,Anger,Anger,Anger,Anger,Happiness,Anger,Disgust,Disgust,Disgust,Fear,Disgust,Anger,Surprise,Sadness,Sadness,Fear,Surprise,Surprise,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Sadness,Happiness,Neutral,Neutral,Happiness,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Surprise,Happiness,Sadness,Surprise,Surprise,Fear,Surprise,Sadness,Happiness,Happiness,Sadness,Uncertain,Surprise,Uncertain,Surprise,Happiness,4343
2021-12-16 15:34:37,2021-12-16 15:57:49,IP Address,208.203.217.200,100,1391,True,2021-12-16 15:57:49,R_1P1NB3BTmAvvqkb,,,,,39.79510498046875,-76.979400634765625,anonymous,EN,I consent,Female,25,White or Caucasian,4 year degree,50704,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Anger,Anger,Anger,Neutral,Anger,Sadness,Other,Anger,Anger,Uncertain,Disgust,Anger,Disgust,Happiness,Anger,Disgust,Anger,Fear,Fear,Surprise,Surprise,Sadness,Fear,Fear,Neutral,Happiness,Uncertain,Happiness,Happiness,Happiness,Happiness,Happiness,Fear,Neutral,Disgust,Other,Sadness,Neutral,Sadness,Neutral,Fear,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Happiness,Neutral,Disgust,Uncertain,Neutral,Uncertain,Disgust,Uncertain,Anger,Sadness,Other,Neutral,Anger,Disgust,Anger,Anger,Anger,Disgust,Sadness,Disgust,Disgust,Sadness,Disgust,Disgust,Anger,Sadness,Sadness,Surprise,Surprise,Surprise,Surprise,Uncertain,Sadness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Sadness,Other,Neutral,Sadness,Other,Surprise,Uncertain,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Uncertain,Sadness,Surprise,Neutral,Surprise,Anger,Surprise,Surprise,Surprise,Anger,Uncertain,Surprise,Happiness,Other,Surprise,Neutral,Neutral,Happiness,Sadness,Anger,Anger,Anger,Sadness,Anger,Anger,Other,Anger,Disgust,Happiness,Anger,Disgust,Disgust,Happiness,Disgust,Disgust,Disgust,Uncertain,Neutral,Sadness,Disgust,Neutral,Anger,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Uncertain,Happiness,Sadness,Neutral,Anger,Happiness,Neutral,Neutral,Neutral,Uncertain,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Surprise,Happiness,Surprise,Surprise,Sadness,Anger,Surprise,Sadness,Happiness,Surprise,Uncertain,Uncertain,Neutral,Anger,Sadness,Other,2973
2021-12-16 15:43:31,2021-12-16 16:04:38,IP Address,71.65.101.119,100,1267,True,2021-12-16 16:04:39,R_1OUXDaGS3WQZGwN,,,,,39.5081939697265625,-84.3986968994140625,anonymous,EN,I consent,Male,42,Black or African American,Master's degree,68662,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Uncertain,Anger,Fear,Uncertain,Anger,Neutral,Uncertain,Anger,Anger,Fear,Anger,Fear,Sadness,Happiness,Happiness,Surprise,Uncertain,Disgust,Sadness,Uncertain,Fear,Sadness,Fear,Sadness,Disgust,Surprise,Neutral,Happiness,Surprise,Sadness,Happiness,Disgust,Sadness,Disgust,Anger,Disgust,Disgust,Neutral,Happiness,Sadness,Sadness,Fear,Disgust,Fear,Fear,Uncertain,Surprise,Fear,Happiness,Uncertain,Anger,Happiness,Anger,Fear,Other,Uncertain,Fear,Disgust,Anger,Uncertain,Disgust,Uncertain,Fear,Uncertain,Happiness,Neutral,Disgust,Neutral,Anger,Neutral,Anger,Disgust,Anger,Uncertain,Disgust,Disgust,Anger,Fear,Anger,Uncertain,Anger,Fear,Sadness,Uncertain,Fear,Anger,Disgust,Uncertain,Surprise,Happiness,Happiness,Other,Fear,Disgust,Happiness,Fear,Happiness,Uncertain,Disgust,Sadness,Neutral,Neutral,Sadness,Sadness,Anger,Uncertain,Fear,Fear,Fear,Happiness,Sadness,Fear,Fear,Anger,Uncertain,Disgust,Surprise,Disgust,Fear,Anger,Neutral,Surprise,Other,Surprise,Uncertain,Sadness,Fear,Surprise,Disgust,Neutral,Disgust,Other,Anger,Surprise,Disgust,Uncertain,Fear,Other,Disgust,Sadness,Sadness,Disgust,Uncertain,Uncertain,Surprise,Fear,Surprise,Sadness,Anger,Uncertain,Other,Happiness,Disgust,Disgust,Surprise,Surprise,Sadness,Happiness,Fear,Sadness,Happiness,Anger,Other,Fear,Other,Happiness,Disgust,Happiness,Sadness,Neutral,Happiness,Disgust,Happiness,Fear,Sadness,Anger,Disgust,Surprise,Happiness,Neutral,Uncertain,Anger,Sadness,Happiness,Uncertain,Uncertain,Disgust,Fear,Surprise,Happiness,Surprise,Other,Anger,Sadness,4720
