felicidad,neutral,incertidumbre,sorpresa,enfado,miedo,tristeza,asco,photo_id,ethnicity,sex,age,label,url,photoId
0.0,0.3125,0.0625,0.0,0.5,0.0,0.03125,0.03125,Q2.1,bipoc,female,adult,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJXdODAZHOaG0rI,Q2.1
0.0,0.0,0.03125,0.0,0.875,0.0,0.03125,0.03125,Q3.1,bipoc,female,child,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37SAhyROGBWVpVs, Q3.1
0.0,0.0,0.0,0.0,0.9375,0.03125,0.0,0.0,Q4.1,bipoc,male,adult,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QLhY3LefdXzwfI, Q4.1
0.0,0.03125,0.21875,0.0,0.28125,0.0625,0.3125,0.0,Q5.1,bipoc,male,child,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_egtCOrU9KOm233M, Q5.1
0.0,0.03125,0.03125,0.0625,0.84375,0.03125,0.0,0.0,Q6.1,white,female,adult,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Amo6fqrutcZYZo, Q6.1
0.0,0.03125,0.0,0.0,0.8125,0.0,0.15625,0.0,Q7.1,white,female,child,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XqAx3FzoRDFZt4, Q7.1
0.0,0.3125,0.125,0.0,0.4375,0.0,0.0,0.0,Q8.1,white,male,adult,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7PC2cgcyr5yUiOy, Q8.1
0.09375,0.03125,0.03125,0.0,0.625,0.0,0.0,0.0,Q9.1,white,male,child,enfado,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9Gfr3sYkHq3hHG6, Q9.1
0.0,0.0,0.46875,0.0625,0.25,0.0,0.0,0.1875,Q10.1,bipoc,female,adult,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cvFjQlP07m9S7VY, Q10.1
0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.75,Q11.1,bipoc,female,child,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zxryb4o2ZDgHDo, Q11.1
0.0,0.0625,0.0,0.0,0.5,0.0,0.0,0.4375,Q12.1,bipoc,male,adult,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cIvdFisSzzSMNRI, Q12.1
0.0625,0.0,0.03125,0.15625,0.1875,0.0,0.0,0.5625,Q13.1,bipoc,male,child,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_envzka9NlloQh7g, Q13.1
0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.90625,Q14.1,white,female,adult,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_er3kGiV5nUJCkse, Q14.1
0.3125,0.0,0.0,0.0,0.0625,0.0,0.0,0.375,Q15.1,white,female,child,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_51ruTTJP1FaUeX4, Q15.1
0.0,0.0,0.125,0.0,0.125,0.0625,0.0,0.6875,Q16.1,white,male,adult,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Iuz8TahQUf5rCu, Q16.1
0.0,0.0,0.125,0.0,0.3125,0.0,0.0,0.46875,Q17.1,white,male,child,asco,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3dtGv9tzZmLa4Cy, Q17.1
0.0,0.0,0.03125,0.03125,0.0625,0.6875,0.03125,0.125,Q18.1,bipoc,female,adult,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6qVleJUYoACmf6C, Q18.1
0.0,0.0,0.09375,0.75,0.0,0.15625,0.0,0.0,Q19.1,bipoc,female,child,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4HJDfrqWWlJ7wRU, Q19.1
0.0,0.0,0.03125,0.0625,0.03125,0.6875,0.09375,0.09375,Q20.1,bipoc,male,adult,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54KW05fRgzNmLfE, Q20.1
0.09375,0.0,0.0,0.75,0.0,0.125,0.0,0.0,Q21.1,bipoc,male,child,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aY2MoY6bfggUc9E, Q21.1
0.0,0.0,0.03125,0.4375,0.0,0.5,0.0,0.0,Q22.1,white,female,adult,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1H2GqqCbhjjnp3g, Q22.1
0.03125,0.0,0.03125,0.0,0.15625,0.4375,0.34375,0.0,Q23.1,white,female,child,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cXRPI85VJ3YAOdo, Q23.1
0.0,0.03125,0.03125,0.28125,0.0,0.625,0.03125,0.0,Q24.1,white,male,adult,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1z4YnfSQVdhj1Rk, Q24.1
0.125,0.0,0.09375,0.53125,0.0625,0.125,0.0,0.0,Q25.1,white,male,child,miedo,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_24ukMlBx2IZMMuO, Q25.1
0.40625,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,Q26.1,bipoc,female,adult,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5uIGlackw1zchRY, Q26.1
0.96875,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,Q27.1,bipoc,female,child,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1LJr1XMUNEEqjEq, Q27.1
0.8125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,Q28.1,bipoc,male,adult,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVKZzBmzWSoXCXY, Q28.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q29.1,bipoc,male,child,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_da53a1yGEedpOJg, Q29.1
0.8125,0.0,0.0625,0.0625,0.0,0.03125,0.0,0.0,Q30.1,white,female,adult,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6hVt2pmEYV6YLwG, Q30.1
0.90625,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0,Q31.1,white,female,child,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9shhhARAg1o8QcK, Q31.1
0.78125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,Q32.1,white,male,adult,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3CWGONIxkNEfLbU, Q32.1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q33.1,white,male,child,felicidad,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0lBpULniZBM24Pc, Q33.1
0.0,0.6875,0.125,0.0,0.0,0.0,0.0625,0.0,Q34.1,bipoc,female,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_80TvOXpOXat9RxI, Q34.1
0.34375,0.625,0.0,0.03125,0.0,0.0,0.0,0.0,Q35.1,bipoc,female,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9H2fzde2Rkxr2VU, Q35.1
0.0,0.8125,0.03125,0.0,0.0625,0.0,0.03125,0.0,Q36.1,bipoc,male,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cMDFM510Dzc4NKu, Q36.1
0.0,0.75,0.1875,0.0,0.03125,0.0,0.03125,0.0,Q37.1,bipoc,male,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aXk5I4i1e3iZEzk, Q37.1
0.0,0.71875,0.03125,0.03125,0.0625,0.0,0.09375,0.03125,Q38.1,white,female,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3lu3qPA43hGxJ4y, Q38.1
0.03125,0.90625,0.0,0.0,0.03125,0.0,0.03125,0.0,Q39.1,white,female,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0pPXIzq4Mrfh7ka, Q39.1
0.0,0.8125,0.03125,0.0,0.0625,0.0,0.03125,0.0,Q40.1,white,male,adult,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_blolyGQSOOsUfLE, Q40.1
0.0,0.84375,0.0,0.0,0.0625,0.0,0.03125,0.0,Q41.1,white,male,child,neutral,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVlK7szVW3JAA4K, Q41.1
0.0,0.0,0.03125,0.0,0.03125,0.0,0.90625,0.0,Q42.1,bipoc,female,adult,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KEpMh9qlyvMRAa, Q42.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Q43.1,bipoc,female,child,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_etimLaMrS2pVAAS, Q43.1
0.0,0.03125,0.09375,0.0,0.03125,0.03125,0.71875,0.0625,Q44.1,bipoc,male,adult,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dbf2dyj7KGtrN2e, Q44.1
0.0,0.0,0.0,0.0,0.0,0.03125,0.96875,0.0,Q45.1,bipoc,male,child,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eVzPpFKIfopOW1w, Q45.1
0.0,0.0,0.0,0.03125,0.0,0.03125,0.90625,0.03125,Q46.1,white,female,adult,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EKbisrli19qicS, Q46.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Q47.1,white,female,child,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55Rjm0S1oR1ox1k, Q47.1
0.0,0.25,0.3125,0.0,0.21875,0.0,0.1875,0.0,Q48.1,white,male,adult,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8j4LSlE16vL228e, Q48.1
0.03125,0.0,0.0,0.0,0.03125,0.0,0.9375,0.0,Q49.1,white,male,child,tristeza,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1BzaOxAnlvpmh8i, Q49.1
0.53125,0.0625,0.03125,0.25,0.0,0.0,0.0,0.03125,Q50.1,bipoc,female,adult,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8FZs4DGyzYKeKQ6, Q50.1
0.0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,Q51.1,bipoc,female,child,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_06dsRWFrfc92PVI, Q51.1
0.0,0.0,0.0,0.96875,0.0,0.03125,0.0,0.0,Q52.1,bipoc,male,adult,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0JI5joczfCXyM4K, Q52.1
0.53125,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,Q53.1,bipoc,male,child,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_39MTmWdmGCliDga, Q53.1
0.0,0.0,0.15625,0.65625,0.0,0.0,0.0,0.03125,Q54.1,white,female,adult,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1X6032Sa3Q1kaKa, Q54.1
0.0,0.0,0.03125,0.96875,0.0,0.0,0.0,0.0,Q55.1,white,female,child,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ah0qjH5kqDuQUhE, Q55.1
0.0,0.03125,0.03125,0.875,0.0,0.03125,0.0,0.0,Q56.1,white,male,adult,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9yvGSAqzpAmAcT4, Q56.1
0.0,0.21875,0.0625,0.71875,0.0,0.0,0.0,0.0,Q57.1,white,male,child,sorpresa,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dmTME6d2MAg1Tb8, Q57.1
