photoID,label,sex,ethnicity,method,word
1,anger,female,bipoc,survey,anger
1,anger,female,bipoc,survey,mad
2,anger,male,bipoc,survey,anger
2,anger,male,bipoc,survey,mad
3,anger,female,white,survey,anger
3,anger,female,white,survey,upset
4,anger,male,white,survey,anger
4,anger,male,white,survey,confused
5,disust,female,bipoc,survey,confused
5,disust,female,bipoc,survey,sock
6,disust,male,bipoc,survey,disgust
6,disust,male,bipoc,survey,anger
7,disust,female,white,survey,disgust
7,disust,female,white,survey,upset
8,disust,male,white,survey,confused
8,disust,male,white,survey,disgust
9,fear,female,bipoc,survey,scared
9,fear,female,bipoc,survey,shocked
10,fear,male,bipoc,survey,disgust
10,fear,male,bipoc,survey,sadness
11,fear,female,white,survey,scared
11,fear,female,white,survey,shocked
12,fear,male,white,survey,shocked
12,fear,male,white,survey,scared
13,happiness,female,bipoc,survey,happiness
13,happiness,female,bipoc,survey,content
14,happiness,male,bipoc,survey,happiness
14,happiness,male,bipoc,survey,funny
15,happiness,female,white,survey,happiness
15,happiness,female,white,survey,content
16,happiness,male,white,survey,happiness
16,happiness,male,white,survey,smile
17,sadness,female,bipoc,survey,sadness
17,sadness,female,bipoc,survey,upset
18,sadness,male,bipoc,survey,sadness
18,sadness,male,bipoc,survey,upset
19,sadness,female,white,survey,sadness
19,sadness,female,white,survey,crying
20,sadness,male,white,survey,sadness
20,sadness,male,white,survey,confusion
21,surprise,female,bipoc,survey,happiness
21,surprise,female,bipoc,survey,confusion
22,surprise,male,bipoc,survey,confusion
22,surprise,male,bipoc,survey,scared
23,surprise,female,white,survey,silly
23,surprise,female,white,survey,surprise
24,surprise,male,white,survey,surprise
24,surprise,male,white,survey,shocked
1,anger,female,bipoc,dueling.bandits,frustrated
1,anger,female,bipoc,dueling.bandits,stern
2,anger,male,bipoc,dueling.bandits,yelling
2,anger,male,bipoc,dueling.bandits,stern
3,anger,female,white,dueling.bandits,pissed
3,anger,female,white,dueling.bandits,frustrated
4,anger,male,white,dueling.bandits,stern
4,anger,male,white,dueling.bandits,serious
5,disust,female,bipoc,dueling.bandits,sour
5,disust,female,bipoc,dueling.bandits,disappointed
6,disust,male,bipoc,dueling.bandits,disgust
6,disust,male,bipoc,dueling.bandits,pissed
7,disust,female,white,dueling.bandits,gross
7,disust,female,white,dueling.bandits,dislike
8,disust,male,white,dueling.bandits,questioning
8,disust,male,white,dueling.bandits,unpleasant
9,fear,female,bipoc,dueling.bandits,disgust
9,fear,female,bipoc,dueling.bandits,uncomfortable
10,fear,male,bipoc,dueling.bandits,distraught
10,fear,male,bipoc,dueling.bandits,frightened
11,fear,female,white,dueling.bandits,distraught
11,fear,female,white,dueling.bandits,frightened
12,fear,male,white,dueling.bandits,nervous
12,fear,male,white,dueling.bandits,frightened
13,happiness,female,bipoc,dueling.bandits,proud
13,happiness,female,bipoc,dueling.bandits,satisfied
14,happiness,male,bipoc,dueling.bandits,funny
14,happiness,male,bipoc,dueling.bandits,smiling
15,happiness,female,white,dueling.bandits,satisfied
15,happiness,female,white,dueling.bandits,content
16,happiness,male,white,dueling.bandits,well
16,happiness,male,white,dueling.bandits,smiling
17,sadness,female,bipoc,dueling.bandits,upset
17,sadness,female,bipoc,dueling.bandits,unhappy
18,sadness,male,bipoc,dueling.bandits,distressed
18,sadness,male,bipoc,dueling.bandits,disgusted
19,sadness,female,white,dueling.bandits,distressed
19,sadness,female,white,dueling.bandits,depressed
20,sadness,male,white,dueling.bandits,sadness
20,sadness,male,white,dueling.bandits,disappointed
21,surprise,female,bipoc,dueling.bandits,uncomfortable
21,surprise,female,bipoc,dueling.bandits,surprise
22,surprise,male,bipoc,dueling.bandits,disbelief
22,surprise,male,bipoc,dueling.bandits,shocked
23,surprise,female,white,dueling.bandits,shocked
23,surprise,female,white,dueling.bandits,intrigued
24,surprise,male,white,dueling.bandits,disbelief
24,surprise,male,white,dueling.bandits,shocked
