photoID,label,sex,ethnicity,method,word
1,anger,female,bipoc,survey,anger
1,anger,female,bipoc,survey,mad
2,anger,male,bipoc,survey,anger
2,anger,male,bipoc,survey,upset
3,anger,female,white,survey,anger
3,anger,female,white,survey,disgust
4,anger,male,white,survey,anger
4,anger,male,white,survey,worried
5,disust,female,bipoc,survey,disgust
5,disust,female,bipoc,survey,confused
6,disust,male,bipoc,survey,anger
6,disust,male,bipoc,survey,disgust
7,disust,female,white,survey,disgust
7,disust,female,white,survey,anger
8,disust,male,white,survey,disgust
8,disust,male,white,survey,sadness
9,fear,female,bipoc,survey,fear
9,fear,female,bipoc,survey,upset
10,fear,male,bipoc,survey,fear
10,fear,male,bipoc,survey,sadness
11,fear,female,white,survey,fear
11,fear,female,white,survey,shocked
12,fear,male,white,survey,fear
12,fear,male,white,survey,worried
13,happiness,female,bipoc,survey,happiness
13,happiness,female,bipoc,survey,content
14,happiness,male,bipoc,survey,happiness
14,happiness,male,bipoc,survey,smile
15,happiness,female,white,survey,happiness
15,happiness,female,white,survey,content
16,happiness,male,white,survey,happiness
16,happiness,male,white,survey,joy
17,sadness,female,bipoc,survey,sadness
17,sadness,female,bipoc,survey,crying
18,sadness,male,bipoc,survey,sadness
18,sadness,male,bipoc,survey,upset
19,sadness,female,white,survey,sadness
19,sadness,female,white,survey,crying
20,sadness,male,white,survey,sadness
20,sadness,male,white,survey,neutral
21,surprise,female,bipoc,survey,happiness
21,surprise,female,bipoc,survey,smiling
22,surprise,male,bipoc,survey,confusion
22,surprise,male,bipoc,survey,shocked
23,surprise,female,white,survey,surprise
23,surprise,female,white,survey,shocked
24,surprise,male,white,survey,shocked
24,surprise,male,white,survey,surprise
1,anger,female,bipoc,dueling.bandits,annoyed
1,anger,female,bipoc,dueling.bandits,perturbed
2,anger,male,bipoc,dueling.bandits,displeased
2,anger,male,bipoc,dueling.bandits,perturbed
3,anger,female,white,dueling.bandits,upset
3,anger,female,white,dueling.bandits,irate
4,anger,male,white,dueling.bandits,disappointed
4,anger,male,white,dueling.bandits,rage
5,disust,female,bipoc,dueling.bandits,dislike
5,disust,female,bipoc,dueling.bandits,repulsed
6,disust,male,bipoc,dueling.bandits,disbelief
6,disust,male,bipoc,dueling.bandits,repulsed
7,disust,female,white,dueling.bandits,horrified
7,disust,female,white,dueling.bandits,disgust
8,disust,male,white,dueling.bandits,gross
8,disust,male,white,dueling.bandits,uncertain
9,fear,female,bipoc,dueling.bandits,horrified
9,fear,female,bipoc,dueling.bandits,fear
10,fear,male,bipoc,dueling.bandits,fear
10,fear,male,bipoc,dueling.bandits,horrified
11,fear,female,white,dueling.bandits,horrified
11,fear,female,white,dueling.bandits,terrified
12,fear,male,white,dueling.bandits,disgust
12,fear,male,white,dueling.bandits,shocked
13,happiness,female,bipoc,dueling.bandits,interested
13,happiness,female,bipoc,dueling.bandits,friendly
14,happiness,male,bipoc,dueling.bandits,pleasant
14,happiness,male,bipoc,dueling.bandits,smiling
15,happiness,female,white,dueling.bandits,smiling
15,happiness,female,white,dueling.bandits,amused
16,happiness,male,white,dueling.bandits,smiling
16,happiness,male,white,dueling.bandits,happiness
17,sadness,female,bipoc,dueling.bandits,upset
17,sadness,female,bipoc,dueling.bandits,heartbroken
18,sadness,male,bipoc,dueling.bandits,heartbroken
18,sadness,male,bipoc,dueling.bandits,sorrow
19,sadness,female,white,dueling.bandits,heartbroken
19,sadness,female,white,dueling.bandits,sorrow
20,sadness,male,white,dueling.bandits,heartbroken
20,sadness,male,white,dueling.bandits,serious
21,surprise,female,bipoc,dueling.bandits,surprise
21,surprise,female,bipoc,dueling.bandits,curious
22,surprise,male,bipoc,dueling.bandits,confused
22,surprise,male,bipoc,dueling.bandits,startled
23,surprise,female,white,dueling.bandits,scared
23,surprise,female,white,dueling.bandits,unsure
24,surprise,male,white,dueling.bandits,shocked
24,surprise,male,white,dueling.bandits,surprise
